investor_id,asset_symbol,investment_amount
d5b7a553-be8e-4b7b-80bc-26dce546e610,PFE,5623
d5b7a553-be8e-4b7b-80bc-26dce546e610,AAPL,8044
d5b7a553-be8e-4b7b-80bc-26dce546e610,MSFT,4998

67ce2d2a-b75a-4ea9-abd3-393be488bb93,AAPL,7422
67ce2d2a-b75a-4ea9-abd3-393be488bb93,GOOGL,6033
67ce2d2a-b75a-4ea9-abd3-393be488bb93,MSFT,8177

44c624c1-47de-42e7-90b4-c4977db23231,XOM,5666
44c624c1-47de-42e7-90b4-c4977db23231,JNJ,7122
44c624c1-47de-42e7-90b4-c4977db23231,PG,4822
44c624c1-47de-42e7-90b4-c4977db23231,WMT,6944

58be0c9e-f5a6-4d70-a23f-095a6d75bf21,AAPL,6555
58be0c9e-f5a6-4d70-a23f-095a6d75bf21,GOOGL,5888
58be0c9e-f5a6-4d70-a23f-095a6d75bf21,MSFT,7344

b1bc1669-9018-41c5-aecf-0663e29269c9,KO,7122
b1bc1669-9018-41c5-aecf-0663e29269c9,XOM,8444
b1bc1669-9018-41c5-aecf-0663e29269c9,PEP,5544
b1bc1669-9018-41c5-aecf-0663e29269c9,AMZN,6999

3cab2067-568b-4bed-b434-a8bcae2f40b8,AAPL,8021
3cab2067-568b-4bed-b434-a8bcae2f40b8,MSFT,5122

d97138e6-3435-4414-9222-6faccb5bf434,PFE,6123
d97138e6-3435-4414-9222-6faccb5bf434,AAPL,8555
d97138e6-3435-4414-9222-6faccb5bf434,MSFT,7888
d97138e6-3435-4414-9222-6faccb5bf434,JNJ,6332

cd94f517-3461-4970-af5b-0f2377671dbe,AAPL,7222
cd94f517-3461-4970-af5b-0f2377671dbe,GOOGL,6555
cd94f517-3461-4970-af5b-0f2377671dbe,MSFT,7444

01a5ec0a-acff-4014-aeda-1c9001c99a2f,PFE,6022
01a5ec0a-acff-4014-aeda-1c9001c99a2f,JNJ,7441
01a5ec0a-acff-4014-aeda-1c9001c99a2f,AAPL,8555
01a5ec0a-acff-4014-aeda-1c9001c99a2f,MSFT,6992
01a5ec0a-acff-4014-aeda-1c9001c99a2f,XOM,8891

41418658-5ab8-4797-a5fb-2e6167d23ac5,PG,5781
41418658-5ab8-4797-a5fb-2e6167d23ac5,WMT,6332

178c92ca-b620-4ebc-9b52-d4713b57414f,V,8444
178c92ca-b620-4ebc-9b52-d4713b57414f,JPM,6555
178c92ca-b620-4ebc-9b52-d4713b57414f,MSFT,7222
178c92ca-b620-4ebc-9b52-d4713b57414f,NVDA,7444
178c92ca-b620-4ebc-9b52-d4713b57414f,AAPL,8111

e223cd71-0824-4224-9f01-1b1898131d04,V,7444
e223cd71-0824-4224-9f01-1b1898131d04,JPM,6999
e223cd71-0824-4224-9f01-1b1898131d04,MSFT,7822
e223cd71-0824-4224-9f01-1b1898131d04,NVDA,5888
e223cd71-0824-4224-9f01-1b1898131d04,AAPL,8222

3880df7b-2c4a-495e-a849-ce65c1f873e1,AAPL,6222
3880df7b-2c4a-495e-a849-ce65c1f873e1,GOOGL,5888

6ddbc68e-f6db-47aa-9bb5-c2e02752ba24,V,6555
6ddbc68e-f6db-47aa-9bb5-c2e02752ba24,JPM,6222
6ddbc68e-f6db-47aa-9bb5-c2e02752ba24,AAPL,8333
6ddbc68e-f6db-47aa-9bb5-c2e02752ba24,NVDA,7444

4b71df28-fcaa-42e5-b268-a7b3a0c21e16,V,7321
4b71df28-fcaa-42e5-b268-a7b3a0c21e16,MSFT,6999
4b71df28-fcaa-42e5-b268-a7b3a0c21e16,AAPL,7222

